year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,2947.0,4.0,139.0,12.0,41.0,6.0,4.0,28.0,30.0,92.0,1.0,4.0,170.0,1.0,1.0,153,2.0,13.0,42.0
2.0,1512.0,12.0,17.0,15.0,56.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,11.0,45,26.0,0.0,5.0
2.0,789.0,0.0,50.0,9.0,6.0,29.0,0.0,36.0,84.0,18.0,1.0,4.0,188.0,0.0,0.0,157,10.0,23.0,34.0
2.0,2883.0,12.0,73.0,91.0,111.0,35.0,13.0,48.0,125.0,63.0,1.0,5.0,150.0,0.0,9.0,174,15.0,8.0,22.0
2.0,971.0,1.0,17.0,8.0,53.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,59.0,1.0,2.0,8,13.0,0.0,64.0
2.0,1047.0,0.0,9.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,77,3.0,12.0,36.0
2.0,2678.0,12.0,46.0,121.0,59.0,4.0,13.0,18.0,81.0,48.0,0.0,0.0,122.0,0.0,11.0,66,30.0,2.0,32.0
2.0,668.0,4.0,32.0,36.0,33.0,12.0,7.0,2.0,52.0,5.0,2.0,4.0,79.0,1.0,4.0,147,27.0,17.0,34.0
2.0,3328.0,6.0,5.0,121.0,36.0,0.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,6.0,14,27.0,1.0,43.0
2.0,1927.0,9.0,110.0,57.0,36.0,11.0,0.0,9.0,0.0,0.0,3.0,5.0,196.0,0.0,8.0,187,2.0,4.0,8.0
2.0,283.0,8.0,1.0,102.0,50.0,3.0,1.0,5.0,28.0,76.0,2.0,0.0,123.0,0.0,7.0,68,21.0,4.0,7.0
2.0,1070.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,158.0,0.0,0.0,50,28.0,7.0,9.0
2.0,2446.0,4.0,0.0,31.0,51.0,15.0,1.0,23.0,0.0,0.0,10.0,3.0,93.0,1.0,4.0,63,12.0,3.0,19.0
2.0,1429.0,4.0,52.0,107.0,17.0,10.0,21.0,8.0,139.0,53.0,0.0,6.0,239.0,1.0,4.0,253,20.0,7.0,14.0
2.0,3506.0,1.0,35.0,61.0,10.0,6.0,18.0,9.0,14.0,57.0,7.0,5.0,149.0,1.0,2.0,173,21.0,32.0,47.0
2.0,3189.0,3.0,42.0,38.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,113.0,0.0,3.0,24,31.0,0.0,43.0
2.0,2548.0,0.0,1.0,46.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,29,13.0,6.0,3.0
