year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2017,Tim Williams,7.0,,244,4,33,,124,7,4,6.0,78,6.0,5,60,80,1.0,0.0
2021,Rashawn Slater,14.0,,304,4,33,33,112,7,4,72.0,13,33.0,2,8,93,0.0,3.0
2000,Aaron Shea,16.0,,253,4,37,,114,6,4,14.0,110,14.0,NA,NA,NA,0.0,6.0
2002,Steve Smith,3.0,,193,4,30,,110,7,4,17.0,246,13.0,NA,NA,NA,0.0,2.0
2008,Dustin Keller,9.0,,242,4,38,26,131,6,4,55.0,30,18.0,1,39,87,0.0,6.0
2008,Marcus Thomas,2.0,,213,4,30,21,116,,,83.0,166,26.0,33,NA,30,1.0,1.0
2016,Briean Boddy-Calhoun,1.0,,193,4,35,10,123,7,4,62.0,NA,0.0,13,104,70,NaN,NaN
2003,Jason Goss,1.0,,183,4,32,15,117,7,4,NaN,,NaN,,,,NaN,NaN
2006,Pat Watkins,3.0,,211,4,41,14,133,,,2.0,138,4.0,7,78,77,1.0,0.0
2007,Chris Davis,0.0,,181,4,35,,115,6,4,21.0,NA,0.0,36,279,35,0.0,2.0
2016,Elijah Shumate,3.0,,216,4,33,18,119,,4,9.0,NA,0.0,20,223,49,NaN,NaN
2018,Nick Chubb,2.0,,227,4,38,29,128,7,4,7.0,35,14.0,3,34,86,0.0,5.0
2019,Anthony Johnson,0.0,,209,,32,18,122,7,,1.0,NA,0.0,16,142,59,0.0,5.0
2001,Cory Bird,3.0,,217,4,,22,,,,22.0,91,11.0,NA,NA,NA,1.0,0.0
2001,Char-Ron Dorsey,5.0,,348,5,,16,,,,NaN,,NaN,,,,NaN,NaN
2002,Tango McCauley,8.0,,304,5,31,29,104,7,4,NaN,,NaN,,,,NaN,NaN
2004,Cedric Cobbs,2.0,,223,4,40,,123,,,25.0,128,22.0,9,126,66,0.0,5.0
2006,Alan Zemaitis,1.0,,194,4,,,,,,12.0,122,10.0,10,65,81,1.0,0.0
2012,Jermaine Kearse,0.0,,209,4,34,14,119,7,4,34.0,NA,0.0,34,233,39,NaN,NaN
2016,Chris Brown,0.0,,194,4,,,,,,9.0,NA,0.0,21,171,57,0.0,5.0
2000,Mike Green,3.0,,189,4,38,,118,,4,114.0,254,29.0,NA,NA,NA,0.0,5.0
2001,Chris Chambers,0.0,,210,4,45,,134,,4,32.0,52,24.0,NA,NA,NA,0.0,2.0
2002,Steve Smith,3.0,,193,4,30,,110,7,4,12.0,81,35.0,NA,NA,NA,1.0,0.0
2003,Tony Gilbert,11.0,,251,4,27,19,109,,,7.0,210,16.0,NA,NA,NA,1.0,4.0
2004,Kyle Larson,15.0,,204,4,,,,,,NaN,,NaN,,,,NaN,NaN
2009,Derrick Williams,0.0,,194,4,33,15,,,,12.0,82,9.0,9,71,78,0.0,2.0
2013,Etienne Sabino,7.0,,247,4,,24,114,,,NaN,,NaN,,,,NaN,NaN
2013,James Vandenberg,10.0,,226,4,32,,116,6,4,NaN,,NaN,,,,NaN,NaN
2013,Brandon Williams,6.0,,335,5,29,38,102,8,4,15.0,92,16.0,38,337,32,1.0,1.0
2014,Steven Clark,15.0,,231,5,,,,,,21.0,NA,0.0,2,297,33,NaN,NaN
2016,Jayron Kearse,3.0,,216,4,31,16,124,7,,5.0,244,3.0,16,141,61,1.0,0.0
2021,Joe Tryon,7.0,,259,4,35,22,116,7,4,34.0,32,10.0,4,37,88,1.0,4.0
2022,Alec Pierce,0.0,,211,4,40,,129,7,4,NaN,,NaN,,,,NaN,NaN
2008,Josh Morgan,0.0,,219,4,,,,,,22.0,174,1.0,18,133,62,0.0,2.0
2017,Anthony Walker Jr.,11.0,,238,4,30,23,116,7,4,72.0,161,11.0,11,121,68,NaN,NaN
2018,Nic Shimonek,10.0,,220,4,28,,101,7,4,NaN,,NaN,,,,NaN,NaN
2021,Racey McMath,0.0,,217,4,34,,124,7,4,1.0,205,12.0,40,241,39,0.0,2.0
2004,Chad Lavalais,6.0,,303,5,,,,,,1.0,142,19.0,14,106,69,1.0,1.0
2008,Pedro Sosa,5.0,,300,5,,19,,,,NaN,,NaN,,,,NaN,NaN
2010,Anthony Dixon,2.0,,233,4,33,15,121,7,4,19.0,173,1.0,9,NA,69,0.0,5.0
2014,C.J. Mosley,11.0,,234,4,35,,118,7,4,45.0,191,3.0,7,81,77,1.0,4.0
2017,Raekwon McMillan,11.0,,240,4,33,23,121,7,4,3.0,54,24.0,7,78,76,1.0,4.0
2000,Chrys Chukwuma,2.0,,232,4,,,115,,,NaN,,NaN,,,,NaN,NaN
2003,Anthony Davis,8.0,,329,5,27,,95,8,4,32.0,243,11.0,12,108,70,0.0,5.0
2004,DeAngelo Hall,1.0,,202,4,,,,,,22.0,8,19.0,1,8,97,1.0,0.0
2011,Drake Nevis,6.0,,294,5,30,31,112,7,4,1.0,87,11.0,11,114,68,1.0,1.0
2015,Tony Lippett,0.0,,192,4,36,10,114,6,4,23.0,156,24.0,33,213,45,0.0,2.0
2017,Javarius Leamon,5.0,,332,,23,22,,,,121.0,NA,0.0,21,306,35,NaN,NaN
2017,Malik McDowell,6.0,,295,4,28,23,112,7,4,23.0,35,17.0,3,41,86,1.0,1.0
2017,Mike Williams,0.0,,218,,32,15,121,,,27.0,101,10.0,16,NA,67,0.0,2.0
2019,N'Keal Harry,0.0,,228,4,38,27,122,,,36.0,32,22.0,2,33,87,0.0,2.0
2020,Darrell Taylor,13.0,,267,,,,,,,20.0,48,17.0,7,70,75,1.0,1.0
2020,Davion Taylor,13.0,,228,4,35,21,127,6,4,28.0,103,8.0,11,165,55,1.0,4.0
2000,James Williams,0.0,,180,4,36,,123,7,4,58.0,NA,0.0,27,286,41,1.0,4.0
2003,Lee Suggs,2.0,,202,4,,,,,,22.0,115,14.0,NA,NA,NA,0.0,5.0
2006,Derek Hagan,0.0,,208,4,36,,124,,4,36.0,82,24.0,8,82,75,0.0,2.0
2006,Marcus McNeill,5.0,,336,5,31,,98,8,5,21.0,50,26.0,3,34,89,0.0,3.0
2012,Terrance Ganaway,2.0,,239,4,37,,119,7,4,41.0,202,18.0,15,195,47,0.0,5.0
2015,Mitch Morse,8.0,,305,5,31,36,112,7,4,45.0,49,27.0,5,91,70,0.0,3.0
2017,Brian Allen,1.0,,215,4,34,15,117,6,4,23.0,111,34.0,7,197,53,1.0,4.0
2000,Matt Beck,11.0,,234,4,,,,,,NaN,,NaN,,,,NaN,NaN
2004,Will Poole,1.0,,194,4,,16,,,,0.0,102,24.0,4,41,86,1.0,0.0
2007,Charles Johnson,4.0,,270,4,34,33,118,7,,166.0,216,15.0,25,199,51,1.0,1.0
2007,Chase Pittman,4.0,,270,5,,,,,,1.0,213,14.0,18,190,51,1.0,1.0
2008,Jacob Hester,16.0,,226,4,27,23,111,6,4,1.0,69,26.0,1,NA,56,0.0,5.0
2009,Travis Bright,8.0,,321,5,35,34,108,7,4,10.0,NA,0.0,13,219,46,NaN,NaN
2010,Barry Church,3.0,,222,4,36,19,121,6,4,NaN,,NaN,,,,NaN,NaN
2011,Da'Rel Scott,2.0,,211,4,34,19,117,7,4,40.0,221,25.0,23,257,38,0.0,5.0
2014,James Morris,11.0,,241,4,34,18,117,6,4,NaN,,NaN,,,,NaN,NaN
2018,Foley Fatukasi,6.0,,318,5,30,33,112,7,4,NaN,,NaN,,,,NaN,NaN
2019,Alex Barnes,2.0,,226,4,38,34,126,6,4,47.0,NA,0.0,26,280,42,NaN,NaN
2022,Thomas Booker,6.0,,301,4,,,110,7,4,NaN,,NaN,,,,NaN,NaN
2000,Manuia Savea,8.0,,308,5,25,24,92,,,53.0,207,14.0,NA,NA,NA,0.0,3.0
2004,Mark Wilson,5.0,,314,5,28,24,108,7,4,35.0,151,23.0,17,205,52,0.0,6.0
2005,Jason Campbell,10.0,,230,4,,,,,,21.0,25,23.0,3,46,86,0.0,7.0
2007,Derek Landri,6.0,,288,4,,24,,,,9.0,166,13.0,11,109,69,1.0,1.0
2009,Marcus Freeman,7.0,,239,4,37,30,113,6,4,3.0,154,29.0,8,85,72,1.0,4.0
2009,Andy Kemp,8.0,,313,5,25,23,91,7,4,10.0,NA,0.0,11,199,49,NaN,NaN
2009,Alex Mack,12.0,,311,5,,,,,,35.0,21,14.0,1,39,87,0.0,3.0
2019,Dre Greenlaw,13.0,,237,,33,24,117,,,25.0,148,1.0,16,213,53,1.0,4.0
2020,Brian Cole II,3.0,,213,4,,,,,,19.0,249,3.0,15,239,40,1.0,0.0
2022,Isiah Pacheco,2.0,,216,4,33,,118,,,NaN,,NaN,,,,NaN,NaN
2002,Justin Peelle,9.0,,255,4,29,21,110,7,4,17.0,103,26.0,NA,NA,NA,0.0,6.0
2003,Rien Long,6.0,,302,5,,,105,,,58.0,126,12.0,NA,NA,NA,1.0,1.0
2006,Anthony Schlegel,11.0,,250,4,32,21,111,7,4,3.0,76,18.0,10,NA,49,1.0,4.0
2009,Donald Brown,2.0,,210,4,41,,125,6,4,40.0,129,26.0,NA,NA,NA,1.0,0.0
2009,Rob Bruggeman,12.0,,293,5,,30,,,,NaN,,NaN,,,,NaN,NaN
2011,Mark Dell,0.0,,193,4,,14,,,,NaN,,NaN,,,,NaN,NaN
2011,J.T. Thomas,7.0,,241,4,30,23,114,7,4,39.0,195,29.0,16,242,40,0.0,2.0
2011,Isaiah Thompson,8.0,,300,6,25,23,82,9,5,NaN,,NaN,,,,NaN,NaN
2013,Josh Johnson,1.0,,199,4,35,16,114,6,4,55.0,NA,0.0,30,229,46,0.0,7.0
2015,Corey Robinson,5.0,,324,5,,28,,,,26.0,240,9.0,13,112,68,0.0,3.0
2016,Jacoby Brissett,10.0,,231,4,31,,113,7,4,48.0,91,22.0,7,109,68,0.0,7.0
2016,Tyler Johnstone,5.0,,301,5,30,24,104,7,4,17.0,NA,0.0,20,234,47,NaN,NaN
2020,Joe Reed,0.0,,224,4,38,21,123,,,50.0,151,33.0,19,118,66,0.0,2.0
2003,Anthony Adams,6.0,,299,5,30,,109,7,4,12.0,57,1.0,NA,NA,NA,1.0,1.0
2003,J.R. Tolver,0.0,,202,4,36,,119,6,4,60.0,169,24.0,NA,NA,NA,0.0,2.0
2005,Chad Owens,0.0,,183,4,37,,116,6,3,74.0,185,13.0,24,182,58,0.0,2.0
2007,Charles Johnson,4.0,,270,4,34,33,118,7,,166.0,216,15.0,25,199,51,0.0,2.0
2009,C.J. Davis,8.0,,308,5,25,21,88,8,4,NaN,,NaN,,,,NaN,NaN
2013,Tony Jefferson,3.0,,213,4,,16,,,,NaN,,NaN,,,,NaN,NaN
2015,Jamil Douglas,8.0,,304,5,29,28,99,7,4,36.0,114,24.0,13,194,48,0.0,3.0
2015,Jon Feliciano,8.0,,323,5,26,,97,,4,13.0,128,31.0,17,236,41,0.0,3.0
2017,Jonathan Allen,6.0,,286,5,30,21,108,7,4,6.0,17,23.0,2,5,93,1.0,1.0
2019,James Williams,2.0,,197,4,36,,118,7,4,65.0,175,17.0,NA,NA,NA,1.0,1.0
2019,Andrew Wingard,3.0,,209,4,36,9,121,7,4,97.0,NA,0.0,19,200,55,NaN,NaN
2010,Jonathon Amaya,3.0,,203,4,28,8,118,,,NaN,,NaN,,,,NaN,NaN
2010,Jerome Murphy,1.0,,196,4,38,16,127,6,4,79.0,65,32.0,7,60,79,1.0,0.0
2011,Jarriel King,5.0,,317,5,30,23,114,7,4,26.0,NA,0.0,26,309,31,NaN,NaN
2012,Lavonte David,7.0,,233,4,36,19,119,7,4,24.0,58,10.0,2,36,88,1.0,4.0
2012,Christian Tupou,6.0,,289,5,24,30,92,8,4,NaN,,NaN,,,,NaN,NaN
2013,David Bass,4.0,,262,4,30,20,111,7,4,168.0,233,31.0,27,NA,39,1.0,1.0
2013,Geno Smith,10.0,,218,4,33,,124,,,39.0,39,18.0,1,28,89,0.0,7.0
2014,Wesley Johnson,12.0,,297,5,29,26,111,7,4,68.0,173,5.0,5,188,49,0.0,3.0
2015,Tavaris Barnes,4.0,,282,4,,22,,,,5.0,NA,0.0,22,252,39,NaN,NaN
2018,Saquon Barkley,2.0,,233,4,41,29,,,4,12.0,2,25.0,1,1,97,0.0,5.0
2018,Kendrick Norton,6.0,,314,5,,30,,,,13.0,242,20.0,19,242,44,1.0,1.0
2005,Mike Williams,0.0,,229,4,36,,,,,8.0,4,2.0,NA,NA,NA,0.0,3.0
2006,Jason Hatcher,4.0,,284,4,35,28,113,7,4,91.0,92,4.0,23,NA,48,1.0,1.0
2006,T.J. Williams,9.0,,269,4,34,25,111,7,4,48.0,202,10.0,11,NA,59,0.0,6.0
2013,Matt Elam,3.0,,208,4,35,17,118,,,4.0,32,6.0,2,27,89,1.0,0.0
2014,Rashaad Reynolds,1.0,,189,4,37,20,123,6,4,59.0,NA,0.0,23,167,53,NaN,NaN
2014,Larry Webster,9.0,,252,4,36,17,123,7,4,178.0,136,9.0,15,161,54,1.0,1.0
2015,Cameron Artis-Payne,2.0,,212,4,36,,118,7,,21.0,174,20.0,15,174,50,0.0,5.0
2018,J.C. Jackson,1.0,,193,4,35,14,120,,,40.0,NA,0.0,18,140,64,NaN,NaN
2018,John Kelly,2.0,,216,,35,15,120,7,4,20.0,176,34.0,13,159,60,0.0,5.0
2019,Lil'Jordan Humphrey,0.0,,210,4,33,13,119,7,4,8.0,NA,0.0,38,287,41,NaN,NaN
2001,Josh Heupel,10.0,,215,4,37,,114,7,4,11.0,177,24.0,NA,NA,NA,0.0,7.0
2008,Chilo Rachal,8.0,,315,5,25,28,108,8,5,0.0,39,1.0,2,65,81,0.0,3.0
2012,DaJohn Harris,6.0,,306,4,,,,,,NaN,,NaN,,,,NaN,NaN
2013,Sio Moore,7.0,,245,4,38,29,127,7,4,69.0,66,31.0,4,53,84,1.0,4.0
2016,Pharoh Cooper,0.0,,203,4,31,15,115,,,26.0,117,34.0,11,72,77,0.0,2.0
2016,Dan Vitale,16.0,,239,4,38,30,123,7,4,72.0,197,10.0,1,259,41,0.0,5.0
2001,Brian Allen,7.0,,238,4,,25,,,,2.0,83,32.0,NA,NA,NA,1.0,4.0
2001,Travis Henry,2.0,,223,4,,23,,,,20.0,58,2.0,NA,NA,NA,0.0,5.0
2005,Derrick Johnson,7.0,,242,4,37,,120,7,3,8.0,15,27.0,NA,NA,NA,1.0,0.0
2006,Gilbert Harris,16.0,,235,4,36,20,117,7,4,NaN,,NaN,,,,NaN,NaN
2009,Michael Bennett,4.0,,274,4,31,24,110,,,3.0,180,13.0,6,56,82,1.0,1.0
2009,Beanie Wells,2.0,,235,4,33,25,128,,,NaN,,NaN,,,,0.0,5.0
2010,Kavell Conner,7.0,,242,4,33,24,110,7,4,5.0,240,11.0,22,NA,36,1.0,4.0
2010,Brian Jackson,1.0,,202,4,35,20,120,6,4,NaN,,NaN,,,,NaN,NaN
2011,Lee Smith,9.0,,266,4,29,25,108,7,4,65.0,159,22.0,8,155,59,0.0,6.0
2012,T.J. Graham,0.0,,188,4,33,8,120,6,4,48.0,69,2.0,20,146,60,0.0,2.0
2013,Chris Thompson,2.0,,192,4,,21,,,,136.0,150,13.0,16,114,67,1.0,0.0
2020,Stephen Sullivan,9.0,,248,4,36,,123,7,4,1.0,251,17.0,12,192,50,0.0,6.0
2021,Jaylen Harris,0.0,,170,4,30,8,109,7,4,NaN,,NaN,,,,NaN,NaN
2021,Drake Jackson,12.0,,293,,31,,,,,52.0,NA,0.0,7,206,49,NaN,NaN
2001,Brian Allen,7.0,,238,4,,25,,,,18.0,173,5.0,24,179,55,1.0,4.0
2008,Dre Moore,6.0,,305,4,28,31,105,7,4,40.0,115,10.0,8,81,76,1.0,1.0
2009,Tom Brandstater,10.0,,220,4,28,,106,6,4,43.0,174,21.0,9,214,47,0.0,7.0
2009,Andrew Gardner,5.0,,304,4,,,,,,56.0,181,24.0,20,158,57,0.0,3.0
2012,David Wilson,2.0,,206,4,41,,132,7,4,35.0,183,3.0,NA,NA,NA,0.0,5.0
2013,Ray Graham,2.0,,199,4,32,18,112,7,4,NaN,,NaN,,,,NaN,NaN
2016,Vernon Adams,10.0,,200,4,29,,114,6,4,NaN,,NaN,,,,NaN,NaN
2019,Zack Bailey,14.0,,299,,28,24,103,,,26.0,NA,0.0,23,353,32,NaN,NaN
2001,Anthony Sessions,7.0,,228,4,,19,,,,NaN,,NaN,,,,NaN,NaN
2004,Josh Scobee,18.0,,191,4,,,,,,87.0,137,13.0,2,328,35,2.0,9.0
2012,John Hughes,6.0,,309,5,,28,,,,70.0,87,14.0,22,250,35,1.0,1.0
2012,Trumaine Johnson,1.0,,204,4,35,19,122,7,4,116.0,65,32.0,5,47,86,1.0,0.0
2016,Keanu Neal,3.0,,211,4,38,17,132,7,4,4.0,17,19.0,3,44,83,1.0,0.0
2020,K'Von Wallace,3.0,,206,4,38,18,133,6,4,5.0,127,8.0,18,252,38,1.0,0.0
2000,Damion McIntosh,5.0,,328,5,26,23,97,7,4,47.0,83,26.0,NA,NA,NA,0.0,3.0
2003,Chris Brown,2.0,,220,4,,,,,,28.0,93,12.0,NA,NA,NA,0.0,5.0
2007,David Irons,1.0,,190,4,29,11,111,7,4,21.0,194,19.0,16,120,67,1.0,0.0
2007,Justin Medlock,18.0,,201,4,,,,,,29.0,160,27.0,2,182,52,2.0,9.0
2009,Max Unger,12.0,,309,5,24,22,93,7,4,17.0,49,17.0,3,45,85,0.0,3.0
2012,Brad Nortman,15.0,,213,4,,,,,,64.0,207,20.0,5,NA,30,2.0,8.0
2012,Mohamed Sanu,0.0,,211,4,36,19,126,6,4,66.0,83,7.0,15,109,68,0.0,2.0
2013,Keith Pough,11.0,,239,4,33,17,118,7,4,150.0,NA,0.0,17,244,44,NaN,NaN
2020,Jon Runyan,14.0,,306,5,30,24,107,7,4,14.0,192,15.0,18,201,48,0.0,3.0
2021,Ernest Jones,13.0,,230,4,38,,,,,26.0,103,34.0,10,127,67,1.0,4.0
2007,Gabe Hall,5.0,,313,4,29,22,104,7,4,44.0,NA,0.0,20,237,40,NaN,NaN
2015,David Johnson,2.0,,224,4,41,25,127,6,4,99.0,86,16.0,9,96,69,0.0,6.0
2018,Godwin Igwebuike,3.0,,205,4,35,19,128,6,4,72.0,NA,0.0,16,188,55,NaN,NaN
2019,David Montgomery,2.0,,222,4,28,15,121,,,89.0,73,29.0,4,79,75,0.0,5.0
2019,Benny Snell,2.0,,224,4,29,16,119,7,4,NaN,,NaN,,,,NaN,NaN
2022,Dylan Parham,8.0,,311,4,26,,108,7,4,NaN,,NaN,,,,NaN,NaN
2001,Dauntae' Finger,9.0,,262,5,33,15,103,7,4,30.0,205,10.0,NA,NA,NA,0.0,6.0
2001,Omar Smith,8.0,,293,5,30,21,98,,,NaN,,NaN,,,,NaN,NaN
2003,Anthony Davis,8.0,,329,5,27,,95,8,4,0.0,37,18.0,NA,NA,NA,0.0,5.0
2011,Chris Culliver,1.0,,199,4,38,,123,6,4,26.0,80,1.0,21,136,63,1.0,0.0
2011,Greg Jones,11.0,,242,4,31,21,117,7,4,29.0,129,3.0,NA,NA,NA,1.0,4.0
2011,Jimmy Smith,1.0,,211,4,36,24,123,6,4,146.0,102,23.0,NA,NA,NA,0.0,2.0
2012,Eric Page,0.0,,186,4,30,15,112,6,3,NaN,,NaN,,,,NaN,NaN
2013,William Gholston,4.0,,281,4,28,23,110,7,4,23.0,126,10.0,10,95,73,1.0,1.0
2014,C.J. Mosley,11.0,,234,4,35,,118,7,4,6.0,17,6.0,1,14,92,1.0,1.0
2015,DeAndre Smelter,0.0,,226,4,,,,,,56.0,132,1.0,28,181,50,0.0,2.0
2019,Justice Hill,2.0,,198,4,40,21,130,,,38.0,113,6.0,5,98,72,0.0,5.0
2020,Isaiah Wilson,14.0,,350,5,29,26,110,8,5,7.0,29,12.0,6,31,87,0.0,3.0
2002,Dennis Johnson,4.0,,258,4,35,17,119,7,4,52.0,98,16.0,NA,NA,NA,1.0,4.0
2004,Philip Rivers,10.0,,229,5,,,,,,10.0,4,25.0,3,14,95,0.0,7.0
2006,Anthony Smith,3.0,,194,4,41,18,125,6,4,27.0,83,5.0,8,86,74,1.0,1.0
2006,Darryl Tapp,4.0,,252,4,33,27,109,7,4,22.0,63,17.0,5,37,88,1.0,1.0
2007,Steve Smith,0.0,,197,4,38,,120,6,4,57.0,166,7.0,NA,NA,NA,0.0,5.0
2008,Larry Grant,7.0,,235,4,31,20,113,6,4,3.0,214,1.0,19,NA,36,1.0,4.0
2008,Trae Williams,1.0,,193,4,29,,110,,,79.0,159,13.0,15,93,72,1.0,0.0
2021,Kenneth Gainwell,2.0,,201,4,,21,,,,76.0,150,8.0,8,142,63,0.0,5.0
2007,Dallas Baker,0.0,,208,4,36,,129,6,4,4.0,227,5.0,23,191,51,0.0,2.0
2008,Todd Blythe,0.0,,214,4,31,,118,6,4,NaN,,NaN,,,,NaN,NaN
2008,Marcus Thomas,2.0,,213,4,30,21,116,,,4.0,121,21.0,10,106,70,1.0,1.0
2010,Walter Thurmond,1.0,,189,4,,,,,,17.0,111,17.0,15,NA,64,1.0,0.0
2016,Chris Brown,0.0,,194,4,,,,,,9.0,164,5.0,NA,NA,NA,0.0,5.0
2016,Jordan Payton,0.0,,207,4,34,,121,7,4,29.0,154,14.0,12,83,75,0.0,2.0
2018,Justin Crawford,2.0,,199,4,33,11,122,,,NaN,,NaN,,,,NaN,NaN
2002,Bryant McKinnie,5.0,,343,5,,,,,,13.0,7,3.0,NA,NA,NA,0.0,3.0
2003,Clint Mitchell,4.0,,257,4,34,16,115,7,4,4.0,227,21.0,NA,NA,NA,1.0,1.0
2005,Walter Reyes,2.0,,209,4,32,16,109,7,4,27.0,NA,0.0,17,166,60,NaN,NaN
2006,DeMario Minter,1.0,,190,4,38,10,131,6,4,7.0,152,14.0,13,99,71,1.0,0.0
2017,Sam Rogers,16.0,,231,4,32,19,114,7,4,22.0,206,34.0,2,291,37,1.0,4.0
2019,Alec Ingold,16.0,,242,4,34,16,116,7,4,64.0,NA,0.0,1,342,33,NaN,NaN
2003,Aubrayo Franklin,6.0,,307,5,27,,100,,4,20.0,146,6.0,NA,NA,NA,1.0,1.0
2003,Kevin Williams,4.0,,304,4,30,23,112,7,5,38.0,87,18.0,NA,NA,NA,1.0,0.0
2007,Brandon Mebane,6.0,,309,5,24,24,106,7,4,35.0,85,17.0,6,80,76,1.0,1.0
2009,Brandon Williams,4.0,,261,4,33,,112,7,4,92.0,94,6.0,8,65,79,1.0,1.0
2010,Hall Davis,4.0,,271,4,,28,,,,141.0,149,32.0,9,NA,64,1.0,1.0
2021,Cole Banwart,14.0,,298,5,27,22,103,7,4,NaN,,NaN,,,,NaN,NaN
2021,Trystan Slinker,13.0,,234,4,30,20,119,7,4,NaN,,NaN,,,,NaN,NaN
2001,Brandon Manumaleuna,9.0,,275,4,30,,106,7,4,53.0,129,32.0,NA,NA,NA,0.0,6.0
2002,Antwan Kirk-Hughes,8.0,,316,5,27,,95,8,4,NaN,,NaN,,,,NaN,NaN
2005,Chris Canty,4.0,,279,4,,,,,,50.0,132,4.0,7,40,88,1.0,0.0
2005,Derrick Johnson,1.0,,197,4,,18,,7,4,8.0,15,27.0,NA,NA,NA,1.0,0.0
2005,Jerome Mathis,0.0,,181,4,35,,123,,,112.0,114,30.0,9,62,82,0.0,2.0
2011,Greg McElroy,10.0,,220,4,33,,107,7,4,6.0,208,18.0,10,196,49,0.0,7.0
2011,O.J. Murdock,0.0,,197,4,34,15,116,,4,NaN,,NaN,,,,NaN,NaN
2015,Hau'oli Kikaha,7.0,,253,4,,,,,,NaN,,NaN,,,,1.0,4.0
2019,Daniel Helm,9.0,,249,4,,14,,,,88.0,NA,0.0,21,331,35,NaN,NaN
2021,Dionte Ruffin,19.0,,180,4,36,8,127,7,4,NaN,,NaN,,,,NaN,NaN
2001,Steve Smith,0.0,,184,4,38,,121,7,4,18.0,74,20.0,NA,NA,NA,0.0,5.0
2001,Raymond Walls,1.0,,176,4,39,,124,,4,77.0,152,11.0,NA,NA,NA,1.0,0.0
2004,Shawn Andrews,5.0,,366,5,25,27,98,8,4,25.0,16,8.0,2,20,93,0.0,3.0
2007,Marcus Thomas,6.0,,314,5,,27,,,,83.0,166,26.0,33,NA,30,1.0,1.0
2008,Keenan Burton,0.0,,201,4,38,10,125,6,4,52.0,128,32.0,15,120,66,0.0,2.0
2009,James Davis,2.0,,218,4,32,17,109,7,4,39.0,144,9.0,NA,NA,NA,0.0,5.0
2011,Brandon Burton,1.0,,190,4,32,18,118,6,4,18.0,139,3.0,11,80,77,1.0,0.0
2013,Jason Weaver,5.0,,313,5,21,23,94,8,5,NaN,,NaN,,,,NaN,NaN
2015,Henry Anderson,4.0,,294,4,30,,111,7,4,16.0,93,11.0,9,77,75,1.0,1.0
2015,Cody Prewitt,3.0,,208,4,35,11,125,7,4,37.0,NA,0.0,9,122,65,NaN,NaN
2021,Christian Barmore,17.0,,310,4,,,,,,6.0,38,22.0,1,30,89,1.0,1.0
2021,Brady Breeze,3.0,,197,4,38,20,120,7,4,17.0,215,12.0,24,264,35,1.0,0.0
2005,Mike Williams,0.0,,229,4,36,,,,,8.0,4,2.0,NA,NA,NA,0.0,6.0
2012,Janoris Jenkins,1.0,,193,4,33,,121,6,4,187.0,39,32.0,4,44,87,1.0,0.0
2013,Robert Lester,3.0,,220,4,33,,117,,,6.0,NA,0.0,17,211,49,NaN,NaN
2014,Darqueze Dennard,1.0,,199,4,,15,,,,23.0,24,7.0,1,12,92,1.0,0.0
2017,Al-Quadin Muhammad,4.0,,253,4,30,22,117,7,4,13.0,196,28.0,22,230,45,1.0,1.0
2017,Marcus Williams,3.0,,202,4,43,14,129,6,4,18.0,42,28.0,8,52,83,1.0,0.0
2020,Kenny Willekes,17.0,,264,4,32,32,119,7,,23.0,225,3.0,14,115,67,1.0,1.0
2003,Kenny King,4.0,,281,4,35,25,114,7,4,6.0,141,16.0,NA,NA,NA,1.0,1.0
2004,Tommie Harris,6.0,,295,4,,29,,,,11.0,14,29.0,2,15,95,1.0,1.0
2006,Fred Matua,8.0,,306,5,24,28,93,7,4,0.0,217,9.0,5,110,69,0.0,3.0
2012,James Hanna,9.0,,252,4,36,24,122,6,4,11.0,186,4.0,6,131,63,0.0,6.0
2015,Za'Darius Smith,4.0,,274,4,29,23,113,7,4,52.0,122,6.0,11,98,69,1.0,1.0
2015,Ramik Wilson,11.0,,237,4,35,23,111,,4,7.0,118,27.0,14,131,61,1.0,4.0
2016,Brandon Williams,1.0,,197,4,30,18,118,6,4,92.0,94,6.0,8,65,79,0.0,2.0
2017,Ahkello Witherspoon,1.0,,198,4,40,,127,6,4,28.0,66,1.0,14,85,74,1.0,0.0
2018,Jason Cabinda,11.0,,239,,,19,,,,12.0,NA,0.0,15,311,34,NaN,NaN
2022,Alec Lindstrom,12.0,,296,5,29,25,111,7,4,NaN,,NaN,,,,NaN,NaN
2003,Kevin Williams,4.0,,304,4,30,23,112,7,5,0.0,167,28.0,NA,NA,NA,0.0,2.0
2004,Lane Danielson,0.0,,197,4,31,,117,6,3,NaN,,NaN,,,,NaN,NaN
2005,Chris Myers,8.0,,300,5,,25,,,,57.0,200,21.0,19,NA,30,0.0,3.0
2006,Travis Lulay,10.0,,216,4,35,,111,6,4,NaN,,NaN,,,,NaN,NaN
2006,Lawrence Vickers,16.0,,245,4,30,21,104,7,4,28.0,180,14.0,2,NA,60,0.0,5.0
2007,Brandon Jackson,2.0,,210,4,37,21,122,7,4,24.0,63,15.0,6,73,77,0.0,5.0
2008,Taj Smith,0.0,,187,4,35,,119,7,4,NaN,,NaN,,,,NaN,NaN
2012,DeVier Posey,0.0,,211,4,36,14,123,7,4,3.0,68,30.0,22,159,57,0.0,2.0
