year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2006,Deuce Lutui,8.0,,334,5,28,26,97,8,4,0.0,41,16.0,3,59,83,0.0,3.0
2011,D'Aundre Reed,4.0,,261,4,35,30,119,7,4,NaN,,NaN,,,,1.0,1.0
2011,Markus White,4.0,,266,4,32,14,117,7,4,2.0,224,23.0,28,302,31,1.0,1.0
2013,Nico Johnson,11.0,,248,4,,,,,,6.0,99,27.0,8,159,58,1.0,4.0
2021,Zach Davidson,9.0,,245,4,37,17,117,6,4,165.0,168,3.0,8,179,56,0.0,6.0
2003,Matt Walters,4.0,,272,4,,30,,,,13.0,150,18.0,NA,NA,NA,1.0,1.0
2005,Abraham Elimimian,1.0,,190,4,39,14,121,,4,74.0,NA,0.0,27,281,39,NaN,NaN
2005,Trai Essex,5.0,,324,5,29,,96,8,4,72.0,93,5.0,22,299,37,0.0,3.0
2005,Ryan Grant,2.0,,215,4,33,17,115,7,4,96.0,142,23.0,27,180,51,0.0,2.0
2010,Dedrick Epps,9.0,,250,4,,19,,,,13.0,235,26.0,22,NA,30,0.0,6.0
2011,Kendric Burney,1.0,,186,4,32,14,112,,,30.0,NA,0.0,17,113,68,NaN,NaN
2013,Le'Veon Bell,2.0,,230,4,31,24,118,6,4,NaN,,NaN,,,,0.0,5.0
2013,Josh Evans,3.0,,207,4,34,,123,6,4,NaN,,NaN,,,,1.0,0.0
2014,Jonotthan Harrison,12.0,,304,5,27,27,113,7,4,4.0,NA,0.0,8,296,33,NaN,NaN
2014,Brandon Linder,8.0,,311,5,26,30,100,,,13.0,93,13.0,8,154,56,0.0,3.0
2014,Tevin Reese,0.0,,163,4,41,,132,6,4,41.0,240,26.0,28,193,49,0.0,2.0
2022,Tykevious Chandler,2.0,,204,4,31,,121,,,NaN,,NaN,,,,NaN,NaN
2022,Tyler Smith,5.0,,324,5,27,,105,7,4,NaN,,NaN,,,,NaN,NaN
2002,Mike Williams,5.0,,375,5,30,29,102,,,5.0,7,33.0,1,12,91,0.0,2.0
2005,Stanford Routt,1.0,,193,4,36,,129,6,3,75.0,38,31.0,22,223,50,1.0,0.0
2006,Brad Smith,0.0,,213,4,39,,128,7,4,45.0,103,18.0,23,NA,53,0.0,7.0
2009,Kory Sperry,9.0,,238,4,33,20,122,7,4,NaN,,NaN,,,,NaN,NaN
2011,Clyde Gates,0.0,,192,4,40,16,131,,,NaN,,NaN,,,,0.0,2.0
2013,Stacy McGee,6.0,,308,4,,,,,,11.0,205,31.0,20,256,41,1.0,1.0
2017,Deshaun Watson,10.0,,221,4,32,,119,6,4,5.0,12,30.0,2,28,88,0.0,7.0
2001,Nate Clements,1.0,,209,4,,,,,,3.0,21,2.0,NA,NA,NA,1.0,0.0
2007,Jonny Harline,9.0,,248,4,28,15,106,7,4,10.0,NA,0.0,12,220,44,NaN,NaN
2007,Jacoby Jones,0.0,,210,4,34,,129,7,4,254.0,73,30.0,12,86,74,0.0,2.0
2009,Mike Wallace,0.0,,199,4,40,14,129,6,4,37.0,84,5.0,20,152,58,0.0,2.0
2012,Marcus Forston,6.0,,301,5,28,35,105,7,4,13.0,NA,0.0,18,201,45,NaN,NaN
2020,Jet Anderson,2.0,,208,4,36,19,128,,4,NaN,,NaN,,,,NaN,NaN
2022,Jake Ferguson,9.0,,250,4,31,15,118,7,4,NaN,,NaN,,,,NaN,NaN
2000,Joe Hamilton,10.0,,192,4,,,106,,,56.0,234,10.0,NA,NA,NA,0.0,7.0
2001,Dan Stultz,18.0,,207,,,,,,,NaN,,NaN,,,,NaN,NaN
2006,Robin Meadow,8.0,,324,5,24,29,99,7,4,NaN,,NaN,,,,NaN,NaN
2006,Cory Rodgers,0.0,,188,4,33,,110,7,4,49.0,104,15.0,19,NA,58,0.0,2.0
2010,Travis Goethel,11.0,,240,4,35,21,111,6,4,36.0,190,31.0,12,NA,40,1.0,4.0
2011,Kyle Rudolph,9.0,,259,4,,,,,,9.0,43,3.0,1,30,89,0.0,6.0
2014,Russell Bodine,8.0,,310,5,29,42,109,8,4,30.0,111,7.0,3,90,69,0.0,3.0
2014,Xavier Grimble,9.0,,257,4,26,,113,,,0.0,NA,0.0,18,317,31,NaN,NaN
2014,Ra'Shede Hageman,6.0,,310,4,35,32,114,7,4,62.0,37,19.0,4,41,86,1.0,1.0
2019,Andre Dillard,5.0,,315,4,29,24,118,7,4,58.0,22,8.0,3,19,90,0.0,3.0
2020,Charlie Taumoepeau,9.0,,240,4,36,18,121,7,4,157.0,NA,0.0,11,185,51,NaN,NaN
2022,Charles Cross,5.0,,307,4,26,,112,7,4,NaN,,NaN,,,,NaN,NaN
2001,Steve Smith,0.0,,184,4,38,,121,7,4,18.0,74,20.0,NA,NA,NA,0.0,2.0
2002,Rocky Boiman,7.0,,242,4,35,17,122,6,4,9.0,133,12.0,NA,NA,NA,1.0,4.0
