Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Shawn Oakman,3.0,80,287,4.96,32.0,23.0,123.0,7.53,4.56,2016,NaN,,,NaN,NaN,2.0,52.0,NA,23,265,40
Chris Harrington,3.0,76,264,4.84,,21.0,117.0,,,2008,11.0,6,185,1.0,1.0,2.0,17.0,185,15,149,58
Chris Owens,1.0,70,181,4.44,34.5,14.0,110.0,6.93,4.16,2009,21.0,3,90,1.0,0.0,NaN,NaN,,,,
Montae Nicholson,12.0,74,212,4.42,35.0,,125.0,,,2017,28.0,4,123,1.0,0.0,12.0,31.0,123,14,147,61
Ben Johnson,4.0,78,329,5.37,,30.0,,,,2003,NaN,,,0.0,2.0,3.0,42.0,216,NA,NA,NA
Dwight Lowery,1.0,71,201,4.54,33.5,16.0,116.0,7.31,4.38,2008,25.0,4,113,1.0,0.0,6.0,88.0,113,22,NA,45
Joey Iosefa,15.0,72,247,5.02,31.5,30.0,110.0,7.24,4.33,2015,17.0,7,231,0.0,5.0,16.0,65.0,NA,4,334,31
Mike Pouncey,7.0,77,303,5.12,25.0,,96.0,7.66,4.64,2011,18.0,1,15,0.0,2.0,14.0,4.0,15,1,19,92
Dexter Jackson,0.0,69,182,4.33,29.5,,122.0,6.81,4.38,2008,17.0,2,58,0.0,3.0,0.0,95.0,58,12,88,74
Tanner Lee,8.0,76,218,4.98,32.0,,115.0,7.0,4.41,2018,NaN,,,0.0,7.0,11.0,19.0,203,12,235,45
Donte Nicholson,12.0,73,212,4.56,,18.0,,,,2005,17.0,5,141,1.0,0.0,5.0,10.0,141,8,111,70
Taco Charlton,3.0,78,277,4.92,33.0,25.0,116.0,7.17,4.39,2017,14.0,1,28,1.0,1.0,2.0,13.0,28,4,38,86
Harry Coleman,12.0,73,211,4.56,33.0,13.0,115.0,7.24,4.42,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Robert Kilow,0.0,70,171,4.44,,,,,,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Al Jackson,7.0,75,304,5.2,,19.0,,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Derrick Shelby,3.0,75,266,4.87,35.5,26.0,116.0,7.09,4.5,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Lance Nimmo,4.0,77,303,5.28,27.0,20.0,90.0,8.21,4.96,2003,NaN,,,0.0,2.0,3.0,46.0,130,NA,NA,NA
Taj Smith,0.0,72,187,4.59,35.0,,119.0,7.15,4.5,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Ronald Curry,8.0,74,220,4.59,35.0,,115.0,7.06,4.11,2002,23.0,7,235,0.0,3.0,11.0,28.0,235,NA,NA,NA
Jordan Reed,9.0,74,236,4.72,,16.0,,,,2013,28.0,3,85,0.0,6.0,8.0,4.0,85,6,116,69
Javin Hunter,0.0,71,186,4.47,41.0,,129.0,6.84,4.04,2002,1.0,6,206,0.0,3.0,0.0,11.0,206,NA,NA,NA
Brett Maher,16.0,72,186,4.89,,,,,,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Tim Masthay,14.0,73,198,4.8,,8.0,,,,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Brandon James,2.0,66,176,4.47,,14.0,,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Isaac Asiata,7.0,75,323,5.34,25.5,35.0,102.0,7.83,4.93,2017,18.0,5,164,0.0,2.0,7.0,32.0,164,6,129,67
Silas Redd,2.0,70,212,4.7,37.0,18.0,122.0,,,2014,NaN,,,NaN,NaN,1.0,3.0,NA,25,290,34
Brandon Short,10.0,75,252,4.72,,,,,,2000,30.0,4,105,1.0,4.0,9.0,15.0,105,NA,NA,NA
Xavier Fulton,4.0,76,302,5.01,31.0,27.0,111.0,7.35,4.56,2009,17.0,5,155,0.0,2.0,3.0,45.0,155,16,133,61
Fred Weary,13.0,76,308,5.37,32.0,34.0,104.0,7.68,4.63,2002,16.0,3,66,1.0,0.0,5.0,4.0,97,NA,NA,NA
Justin Tryon,1.0,69,190,4.42,32.5,21.0,119.0,7.41,4.28,2008,28.0,4,124,1.0,0.0,6.0,29.0,124,25,NA,39
Craphonso Thorpe,0.0,73,188,4.38,,,,,,2005,29.0,4,116,0.0,3.0,0.0,5.0,116,18,133,66
Zach Hilton,9.0,80,262,4.83,35.0,24.0,112.0,7.26,4.33,2003,NaN,,,NaN,NaN,NaN,NaN,,,,
Marcus Winn,12.0,72,223,4.86,,21.0,,,,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Jonathan Lewis,5.0,73,309,4.97,33.5,24.0,111.0,7.4,4.4,2006,11.0,6,177,1.0,1.0,4.0,12.0,177,12,109,69
Spencer Long,7.0,77,320,5.16,,,,,,2014,28.0,3,78,0.0,2.0,7.0,19.0,78,13,189,49
Kenny Peterson,3.0,75,298,4.8,,,,,,2003,5.0,3,79,1.0,1.0,2.0,2.0,79,NA,NA,NA
Rennie Moore,5.0,75,268,5.0,30.5,21.0,109.0,,4.53,2012,NaN,,,NaN,NaN,2.0,14.0,NA,21,204,44
LeKevin Smith,5.0,75,316,4.97,30.5,30.0,109.0,7.93,4.92,2006,NaN,,,NaN,NaN,NaN,NaN,,,,
Jaire Alexander,1.0,71,192,4.38,35.0,14.0,127.0,6.71,3.98,2018,NaN,,,1.0,0.0,6.0,22.0,18,2,17,90
Nick Eason,5.0,75,301,5.17,,29.0,102.0,,,2003,13.0,4,114,1.0,1.0,4.0,14.0,114,NA,NA,NA
Keith Brown,2.0,71,216,4.66,30.0,,117.0,6.64,4.08,2000,NaN,,,NaN,NaN,5.0,57.0,187,NA,NA,NA
Zak DeOssie,10.0,77,250,4.58,34.5,26.0,122.0,6.89,4.22,2007,30.0,4,116,1.0,4.0,9.0,218.0,116,12,138,63
James Daniels,13.0,75,306,,30.5,21.0,108.0,7.29,4.4,2018,NaN,,,0.0,2.0,18.0,23.0,39,1,18,90
Nate Davis,8.0,73,226,4.95,26.5,,99.0,,,2009,4.0,5,171,0.0,2.0,7.0,182.0,82,4,81,75
James Looney,3.0,75,287,4.89,35.5,28.0,113.0,7.32,4.37,2018,NaN,,,1.0,1.0,4.0,25.0,232,32,325,32
Ron Thompson,3.0,75,253,4.92,,18.0,,7.46,4.5,2016,NaN,,,NaN,NaN,2.0,48.0,NA,21,246,44
Toby Baker,14.0,75,210,,,,,,,2017,NaN,,,NaN,NaN,15.0,21.0,NA,3,326,32
Oniel Cousins,4.0,76,308,5.11,24.5,23.0,107.0,7.9,4.8,2008,1.0,3,99,0.0,2.0,7.0,84.0,99,3,72,79
Antonio Pittman,2.0,71,207,4.4,35.5,16.0,123.0,6.84,4.16,2007,27.0,4,107,0.0,5.0,1.0,2.0,107,4,58,82
Khalil Mack,6.0,75,251,4.65,40.0,23.0,128.0,7.08,4.18,2014,23.0,1,5,1.0,4.0,10.0,143.0,5,1,3,96
Anthony Felder,10.0,74,233,4.69,,28.0,116.0,,,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Chris Johnson,2.0,71,197,4.24,35.0,,130.0,,,2008,10.0,1,24,1.0,0.0,1.0,77.0,24,5,41,87
Edgerton Hartwell,10.0,73,250,4.86,36.5,18.0,114.0,7.64,4.56,2001,NaN,,,NaN,NaN,9.0,212.0,126,NA,NA,NA
Latef Grim,0.0,71,188,4.6,,,111.0,7.27,4.33,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Earl Bennett,0.0,71,209,4.48,26.0,15.0,110.0,7.15,4.22,2008,26.0,3,70,0.0,3.0,0.0,75.0,70,13,96,71
Kyshoen Jarrett,12.0,70,200,4.57,33.0,21.0,109.0,6.95,4.4,2015,28.0,6,181,1.0,0.0,12.0,12.0,181,22,307,33
Nevin Lawson,1.0,69,190,4.48,33.0,16.0,120.0,7.12,4.4,2014,15.0,4,133,1.0,0.0,6.0,94.0,133,19,136,60
Chimdi Chekwa,1.0,72,191,4.38,34.5,,126.0,,,2011,23.0,4,113,1.0,0.0,6.0,2.0,113,19,126,65
Najee Goode,10.0,72,244,4.55,35.5,,117.0,,,2012,17.0,5,140,1.0,4.0,13.0,46.0,140,10,251,35
Akin Ayodele,6.0,74,257,4.81,35.0,26.0,121.0,7.0,4.12,2002,20.0,3,89,1.0,4.0,2.0,47.0,89,NA,NA,NA
Aaron Rodgers,8.0,74,223,4.71,34.5,,110.0,7.38,,2005,5.0,1,24,0.0,7.0,11.0,25.0,24,1,2,99
Charles Tillman,1.0,73,207,4.49,40.0,12.0,131.0,7.05,3.89,2003,26.0,2,35,1.0,0.0,5.0,123.0,35,NA,NA,NA
James Williams,0.0,71,180,4.59,36.0,,123.0,7.22,4.16,2000,0.0,6,175,0.0,5.0,5.0,117.0,176,NA,NA,NA
Aqib Talib,1.0,73,202,4.44,38.0,10.0,131.0,6.82,4.22,2008,17.0,1,20,1.0,0.0,6.0,81.0,20,4,23,92
Brodie Croyle,8.0,74,205,4.88,30.5,,104.0,7.34,4.25,2006,29.0,3,85,0.0,7.0,11.0,6.0,85,5,63,81
Thomas Howard,6.0,75,239,4.42,39.0,21.0,124.0,6.96,4.28,2006,23.0,2,38,1.0,4.0,9.0,84.0,38,7,52,85
Coty Sensabaugh,1.0,71,189,4.33,37.0,15.0,122.0,6.6,4.06,2012,10.0,4,115,1.0,0.0,6.0,14.0,115,18,126,63
Bryant McKinnie,4.0,80,343,5.13,,,,,,2002,3.0,1,7,0.0,2.0,3.0,8.0,7,NA,NA,NA
DeAndre Wright,1.0,71,198,4.52,34.5,17.0,122.0,7.0,4.44,2009,30.0,6,200,1.0,0.0,6.0,102.0,200,41,NA,30
Jabrill Peppers,12.0,71,213,4.46,35.5,19.0,128.0,,,2017,2.0,1,25,1.0,0.0,12.0,13.0,25,7,48,84
James Starks,2.0,74,218,4.5,36.0,15.0,119.0,6.89,4.23,2010,5.0,6,193,0.0,5.0,1.0,143.0,193,20,NA,39
Vincent Fuller,11.0,73,189,4.44,,,,,,2005,10.0,4,108,1.0,0.0,5.0,12.0,108,7,95,73
Charles Stackhouse,15.0,74,252,4.93,29.0,20.0,111.0,7.63,4.53,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Billy Bajema,9.0,77,261,4.74,31.5,16.0,113.0,7.05,4.25,2005,4.0,7,249,0.0,6.0,8.0,33.0,249,11,200,55
Nick Leckey,13.0,75,290,5.26,27.0,18.0,97.0,7.71,4.47,2004,11.0,6,167,0.0,2.0,14.0,40.0,167,3,117,67
Keivarae Russell,1.0,71,192,4.49,,17.0,,,,2016,29.0,3,74,NaN,NaN,6.0,11.0,74,10,84,75
Charles Davis,9.0,77,263,4.87,31.5,27.0,108.0,7.53,4.37,2006,6.0,5,167,0.0,6.0,1.0,158.0,73,NA,NA,NA
Corey Lemonier,3.0,75,255,4.6,33.0,27.0,119.0,7.14,4.4,2013,4.0,3,88,1.0,1.0,2.0,18.0,88,14,114,69
Derek Pagel,11.0,73,208,4.57,35.5,25.0,115.0,6.87,4.08,2003,25.0,5,140,1.0,0.0,5.0,23.0,140,NA,NA,NA
Andrew Jackson-02,10.0,73,254,4.9,,,,,,2014,22.0,6,203,NaN,NaN,NaN,NaN,,,,
Joe Jon Finley,9.0,78,254,4.85,,22.0,,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Rannell Hall,0.0,72,198,4.6,41.0,16.0,132.0,6.86,4.15,2015,NaN,,,NaN,NaN,0.0,70.0,NA,40,283,36
David Warren,3.0,74,253,4.73,,21.0,,7.53,4.46,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Reggie White,2.0,72,228,4.58,37.5,17.0,114.0,7.48,4.4,2001,NaN,,,1.0,1.0,4.0,153.0,147,NA,NA,NA
Bryan Bennett,8.0,74,211,4.81,37.0,,125.0,7.13,4.2,2015,NaN,,,NaN,NaN,11.0,136.0,NA,8,279,36
Kelly Jennings,1.0,71,178,4.39,40.0,,120.0,,4.0,2006,0.0,1,31,1.0,0.0,5.0,8.0,31,7,32,89
Nick Novak,16.0,71,191,5.1,,,,,,2005,NaN,,,NaN,NaN,17.0,0.0,NA,6,343,31
Jason Glenn,6.0,73,236,4.94,36.0,14.0,115.0,7.16,4.31,2001,15.0,6,173,1.0,4.0,9.0,17.0,173,NA,NA,NA
Mark Walton,2.0,70,202,4.6,31.5,18.0,118.0,,,2018,NaN,,,0.0,5.0,1.0,8.0,112,9,97,71
Etric Pruitt,11.0,72,197,4.57,39.5,,116.0,7.15,4.0,2004,21.0,6,186,1.0,0.0,5.0,68.0,186,8,116,67
Jonathan Clinkscale,7.0,74,315,5.51,27.5,,99.0,,,2005,NaN,,,NaN,NaN,NaN,NaN,,,,
Doug Martin,2.0,69,223,4.46,36.0,28.0,120.0,6.79,4.16,2012,17.0,1,31,1.0,1.0,2.0,35.0,9,NA,NA,NA
William Joseph,5.0,77,308,5.18,,29.0,,,,2003,30.0,1,25,1.0,1.0,4.0,8.0,25,NA,NA,NA
John Hughes,5.0,74,309,5.32,,28.0,,,,2012,2.0,3,87,1.0,1.0,4.0,69.0,87,22,250,35
Darius Marshall,2.0,69,190,4.59,35.5,14.0,109.0,,4.39,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Chad Johnson,0.0,73,192,4.57,33.0,,108.0,7.51,4.14,2001,12.0,2,36,0.0,3.0,0.0,51.0,36,NA,NA,NA
Letroy Guion,5.0,75,303,5.31,,26.0,,,,2008,3.0,5,152,1.0,1.0,4.0,5.0,152,12,124,64
Louis Holmes,3.0,76,263,4.84,32.5,,121.0,7.33,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Shiloh Keo,12.0,71,219,4.74,32.5,24.0,110.0,6.55,3.9,2011,16.0,5,144,1.0,0.0,12.0,97.0,144,7,121,66
Sam Young,4.0,80,316,5.2,29.5,29.0,104.0,7.73,4.87,2010,14.0,6,179,0.0,2.0,3.0,11.0,179,15,NA,49
Jonathan Goodwin,7.0,75,318,5.13,,,,,,2002,25.0,5,154,0.0,2.0,7.0,13.0,154,NA,NA,NA
James Cowser,3.0,75,248,4.82,31.5,21.0,111.0,6.8,4.31,2016,NaN,,,NaN,NaN,10.0,137.0,NA,14,172,57
Dexter Jackson,0.0,69,182,4.33,29.5,,122.0,6.81,4.38,2008,17.0,2,58,1.0,0.0,5.0,5.0,113,NA,NA,NA
Jonathan Gray,4.0,76,338,5.85,23.0,20.0,94.0,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Dominique Robertson,4.0,77,324,5.36,28.5,30.0,100.0,8.42,4.83,2016,NaN,,,NaN,NaN,3.0,115.0,NA,17,204,51
Zach Miller,9.0,76,256,4.87,34.0,,115.0,7.01,4.42,2007,23.0,2,38,0.0,6.0,8.0,178.0,180,NA,NA,30
Lorenzo Carter,18.0,78,250,4.5,36.0,,130.0,,,2018,NaN,,,1.0,1.0,10.0,7.0,66,5,52,83
Josh Stewart,0.0,70,178,4.69,35.0,11.0,117.0,7.1,4.33,2014,NaN,,,NaN,NaN,0.0,33.0,NA,43,318,31
Cedric James,0.0,74,204,4.49,43.0,,134.0,,,2001,3.0,4,131,0.0,3.0,0.0,49.0,131,NA,NA,NA
Jack Allen,13.0,73,294,5.29,26.5,23.0,101.0,7.9,4.73,2016,NaN,,,NaN,NaN,18.0,31.0,NA,6,184,55
Tim Stratton,9.0,76,251,4.97,27.0,15.0,101.0,,,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Daniel McCullers,5.0,79,352,5.18,20.5,27.0,97.0,,,2014,6.0,6,215,1.0,1.0,NaN,NaN,,,,
Ryan Smith-02,1.0,71,189,4.47,36.0,18.0,122.0,6.88,4.09,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Jon Baldwin,0.0,76,228,4.49,42.0,20.0,129.0,7.07,4.34,2011,29.0,1,26,NaN,NaN,NaN,NaN,,,,
Kirk Chambers,4.0,79,313,5.44,27.0,22.0,101.0,7.56,4.4,2004,2.0,6,176,0.0,2.0,3.0,20.0,176,20,252,45
Ray McDonald,3.0,75,276,4.88,,,,,,2007,4.0,3,97,1.0,1.0,0.0,4.0,187,NA,NA,NA
Tim Flanders,2.0,69,207,4.75,32.0,20.0,113.0,7.07,,2014,NaN,,,NaN,NaN,NaN,NaN,,,,
Matt Johnson,7.0,76,345,5.56,28.0,35.0,99.0,8.07,4.99,2000,NaN,,,0.0,2.0,14.0,55.0,138,NA,NA,NA
Chrys Chukwuma,2.0,73,232,4.56,,,115.0,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Robert Woods,0.0,72,201,4.51,33.5,14.0,117.0,7.15,4.47,2013,7.0,2,41,0.0,3.0,0.0,87.0,134,NA,NA,NA
Jacory Harris,8.0,75,203,4.65,37.0,,113.0,7.1,4.4,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Leon Orr,5.0,77,323,5.16,28.0,,100.0,8.26,4.9,2015,NaN,,,NaN,NaN,4.0,4.0,NA,23,259,39
Ezell Ruffin,0.0,72,218,4.68,27.5,17.0,110.0,7.35,4.58,2015,NaN,,,NaN,NaN,NaN,NaN,,,,
Joe Cardona,19.0,74,242,4.91,33.0,30.0,,,,2015,19.0,5,166,2.0,10.0,19.0,250.0,166,1,NA,30
Shawn Murphy,7.0,76,320,5.38,21.5,29.0,100.0,7.74,4.89,2008,18.0,4,110,0.0,2.0,7.0,94.0,110,16,NA,39
Bennie Joppru,9.0,76,272,4.78,30.5,19.0,109.0,,,2003,16.0,2,41,0.0,6.0,8.0,13.0,41,NA,NA,NA
Calvin Pryor,11.0,71,207,4.58,34.5,18.0,116.0,,,2014,25.0,1,18,1.0,0.0,12.0,22.0,18,2,21,91
Angelo Crowell,10.0,72,236,4.73,32.5,25.0,,7.08,4.29,2003,7.0,3,94,1.0,4.0,9.0,41.0,94,NA,NA,NA
George Atkinson,2.0,73,218,4.48,38.0,19.0,121.0,7.07,4.46,2014,NaN,,,NaN,NaN,5.0,244.0,190,NA,NA,NA
Toby Weathersby,4.0,76,317,5.34,24.5,28.0,106.0,8.55,5.38,2018,NaN,,,NaN,NaN,3.0,1.0,NA,16,191,55
Dan Williams,5.0,74,327,5.19,32.0,27.0,96.0,7.88,4.87,2010,11.0,1,26,1.0,1.0,4.0,9.0,26,3,15,93
Darrell Jackson,0.0,72,197,4.56,,,,,,2000,0.0,3,80,0.0,3.0,0.0,4.0,80,NA,NA,NA
Kaluka Maiava,6.0,71,229,4.65,,30.0,110.0,6.98,4.2,2009,2.0,4,104,1.0,4.0,10.0,3.0,104,9,94,70
Lache Seastrunk,2.0,69,201,4.51,41.5,15.0,134.0,,,2014,28.0,6,186,0.0,5.0,1.0,52.0,186,13,148,58
Owen Daniels,9.0,75,253,4.65,34.5,23.0,114.0,6.87,4.1,2006,16.0,4,98,0.0,6.0,8.0,42.0,98,9,115,68
Antonio Johnson,5.0,75,310,5.15,29.0,28.0,108.0,7.47,4.49,2007,10.0,5,152,1.0,1.0,4.0,30.0,152,21,251,38
Landon Johnson,6.0,74,227,4.65,37.5,20.0,120.0,7.0,4.08,2004,12.0,3,96,1.0,4.0,9.0,47.0,96,13,187,56
Joe Newton,9.0,79,257,4.89,31.0,20.0,109.0,7.35,4.57,2007,NaN,,,NaN,NaN,8.0,0.0,NA,13,232,41
Golden Tate,0.0,70,199,4.42,35.0,17.0,120.0,7.12,4.34,2010,0.0,2,60,0.0,3.0,0.0,73.0,120,NA,NA,NA
Bradlee Van Pelt,8.0,74,231,4.98,33.5,,115.0,6.89,4.11,2004,13.0,7,250,0.0,7.0,11.0,76.0,250,14,242,47
Bryce Petty,8.0,75,230,4.87,34.0,,121.0,6.91,4.13,2015,25.0,4,103,0.0,7.0,11.0,52.0,103,3,81,73
Chase Ortiz,3.0,74,249,4.9,29.5,24.0,108.0,7.03,4.23,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Robert Griffin,8.0,74,223,4.33,39.0,,120.0,,,2012,28.0,1,2,0.0,2.0,7.0,52.0,203,54,NA,30
Mark Anderson,3.0,76,254,4.62,42.0,20.0,127.0,6.95,4.22,2006,26.0,5,159,1.0,1.0,2.0,6.0,159,7,74,78
Tarell Brown,1.0,71,190,4.45,33.5,17.0,111.0,7.0,4.37,2007,4.0,5,147,1.0,0.0,5.0,16.0,147,13,93,73
Montravius Adams,5.0,76,304,4.87,29.0,22.0,108.0,7.62,4.89,2017,5.0,3,93,1.0,1.0,4.0,18.0,93,7,102,73
Chris Harper,0.0,73,229,4.55,35.5,20.0,116.0,6.89,4.39,2013,0.0,4,123,0.0,3.0,0.0,25.0,NA,39,270,37
Chase Daniel,8.0,72,218,4.79,33.0,,,7.28,4.31,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Joe Lefeged,12.0,72,210,4.42,36.5,18.0,122.0,6.82,4.13,2011,NaN,,,NaN,NaN,NaN,NaN,,,,
Nick Leeson,19.0,73,255,5.08,,,,,,2007,NaN,,,NaN,NaN,19.0,12.0,NA,1,269,34
Richard Mercier,7.0,75,295,5.39,26.0,18.0,97.0,7.84,4.78,2000,NaN,,,0.0,2.0,7.0,71.0,148,NA,NA,NA
Ryan Fowler,10.0,75,250,4.8,37.5,35.0,118.0,7.19,4.19,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Adam Bishop,9.0,77,248,4.98,27.0,21.0,113.0,7.14,4.28,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Ola Adeniyi,18.0,74,248,4.83,31.5,26.0,,7.21,4.28,2018,NaN,,,NaN,NaN,NaN,NaN,,,,
Kentrell Brothers,6.0,72,245,4.89,28.5,19.0,110.0,6.99,4.11,2016,3.0,5,160,1.0,4.0,13.0,50.0,160,10,182,55
Wes Shivers,4.0,77,318,5.65,22.5,18.0,98.0,8.48,4.81,2000,10.0,7,237,0.0,2.0,3.0,30.0,237,NA,NA,NA
Travis Claridge,7.0,77,303,5.15,31.5,29.0,100.0,7.77,4.86,2000,21.0,2,37,0.0,2.0,3.0,3.0,37,NA,NA,NA
A.J. Hawk,6.0,73,248,4.59,40.0,24.0,115.0,6.82,3.96,2006,5.0,1,5,1.0,4.0,9.0,2.0,5,1,5,97
Jeremy Childs,0.0,72,200,4.47,33.5,,115.0,6.9,4.26,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Amara Darboh,0.0,74,214,4.45,36.0,17.0,124.0,,,2017,0.0,3,106,0.0,3.0,0.0,13.0,106,14,112,71
Keith Williams,7.0,76,318,5.28,24.5,23.0,93.0,8.42,5.03,2011,6.0,6,196,0.0,3.0,1.0,133.0,159,NA,NA,NA
Marcus Paschal,11.0,72,201,4.59,33.0,15.0,,7.31,4.72,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
John Howell,11.0,72,204,4.64,37.0,14.0,121.0,6.87,4.12,2001,17.0,4,117,1.0,0.0,5.0,76.0,117,NA,NA,NA
Artavis Scott,0.0,70,193,4.61,31.0,13.0,116.0,7.19,4.49,2017,NaN,,,NaN,NaN,0.0,14.0,NA,46,261,40
Marcus Tubbs,5.0,76,321,5.05,32.5,29.0,105.0,,,2004,0.0,1,23,1.0,1.0,4.0,16.0,23,3,26,90
Dunta Robinson,1.0,71,186,4.34,36.0,15.0,120.0,6.97,3.75,2004,16.0,1,10,1.0,0.0,5.0,24.0,10,2,12,96
Rogers Gaines,4.0,78,334,5.24,23.0,28.0,,,5.24,2013,NaN,,,NaN,NaN,3.0,49.0,NA,15,176,55
Eric Shelton,2.0,73,246,4.53,38.5,,124.0,7.44,4.08,2005,9.0,2,54,0.0,5.0,1.0,22.0,54,5,61,83
Larry Birdine,3.0,76,261,5.02,32.0,21.0,107.0,7.47,4.76,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Kevin Akins,6.0,74,218,4.73,31.5,15.0,117.0,6.78,4.15,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Boris Lee,10.0,72,238,4.94,32.5,27.0,112.0,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Kyle Bosworth,6.0,73,236,4.69,32.5,25.0,117.0,6.67,4.11,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Jonathan Luigs,13.0,76,301,5.14,31.0,26.0,99.0,7.69,4.79,2009,12.0,4,106,0.0,2.0,14.0,21.0,106,5,151,58
Kevin Rutland,1.0,72,190,4.58,35.5,12.0,118.0,6.92,4.15,2011,NaN,,,NaN,NaN,6.0,50.0,NA,34,279,34
KaMichael Hall,6.0,72,228,4.77,33.0,,111.0,7.5,4.62,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Mike McGlinchey,4.0,80,309,,28.5,24.0,105.0,,,2018,NaN,,,0.0,2.0,3.0,11.0,9,1,13,91
Dan Bailey,16.0,72,193,4.92,,,,,,2011,NaN,,,NaN,NaN,NaN,NaN,,,,
Joey Iosefa,15.0,72,247,5.02,31.5,30.0,110.0,7.24,4.33,2015,17.0,7,231,0.0,5.0,1.0,65.0,231,NA,NA,NA
Clint Ingram,6.0,74,244,4.65,41.0,22.0,,7.12,4.1,2006,20.0,3,80,1.0,4.0,9.0,10.0,80,12,NA,58
Lamar Gordon,2.0,73,214,4.55,34.0,16.0,119.0,,,2002,24.0,3,84,0.0,5.0,1.0,111.0,84,NA,NA,NA
John Jones,9.0,76,248,4.63,38.5,13.0,125.0,7.33,4.43,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Josh Gattis,11.0,73,206,4.51,34.5,22.0,121.0,6.72,4.27,2007,20.0,5,150,1.0,0.0,5.0,62.0,150,6,96,72
Kevin Zeitler,7.0,76,314,5.32,29.0,32.0,101.0,7.77,4.61,2012,12.0,1,27,0.0,2.0,7.0,64.0,27,3,35,88
Jim Dray,9.0,77,246,4.82,,17.0,,,,2010,11.0,7,233,0.0,6.0,8.0,20.0,233,23,NA,30
Jamison Crowder,0.0,68,185,4.56,37.0,10.0,115.0,7.17,4.32,2015,28.0,4,105,0.0,3.0,0.0,93.0,105,19,123,64
Carlos Wright,0.0,73,203,4.65,34.0,,122.0,7.12,4.31,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Drew Brown,16.0,70,208,,,,,,,2018,NaN,,,NaN,NaN,NaN,NaN,,,,
Briean Boddy-Calhoun,1.0,69,193,4.47,35.0,10.0,123.0,7.16,4.22,2016,NaN,,,NaN,NaN,6.0,57.0,NA,13,104,70
David Diehl,7.0,78,310,5.26,28.0,22.0,96.0,8.1,4.97,2003,30.0,5,160,0.0,2.0,3.0,45.0,160,NA,NA,NA
Drisan James,0.0,72,193,4.52,39.0,14.0,126.0,7.09,4.39,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Isaac West,0.0,72,187,4.46,37.0,,124.0,7.21,4.22,2005,NaN,,,NaN,NaN,NaN,NaN,,,,
T.J. McDonald,11.0,74,219,4.59,40.0,19.0,131.0,6.89,4.2,2013,24.0,3,71,1.0,0.0,12.0,3.0,71,14,185,53
Lionel Gates,2.0,72,222,4.6,36.0,23.0,121.0,7.17,4.1,2005,7.0,7,236,0.0,5.0,1.0,22.0,236,20,212,53
T.J. Barnes,5.0,78,369,5.3,22.0,25.0,97.0,8.26,4.96,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Keith Jackson-01,5.0,76,319,5.2,,28.0,,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Ryan Izzo,9.0,77,256,4.94,33.0,18.0,110.0,7.15,4.43,2018,NaN,,,0.0,6.0,8.0,5.0,250,11,178,57
Daimion Stafford,11.0,72,221,4.69,30.5,21.0,111.0,7.06,,2013,10.0,7,248,1.0,0.0,12.0,19.0,248,18,219,48
