Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Ray Graham,2.0,69,199,4.8,32.5,18.0,112.0,7.17,4.21,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Chris Combs,5.0,77,286,5.16,,22.0,,,,2000,6.0,6,173,0.0,6.0,8.0,102.0,106,NA,NA,NA
Barry Booker,5.0,76,285,5.06,,24.0,,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Josh Blankenship,8.0,74,211,5.16,28.5,,103.0,7.59,4.42,2003,NaN,,,NaN,NaN,NaN,NaN,,,,
James Williams,0.0,71,180,4.59,36.0,,123.0,7.22,4.16,2000,0.0,6,175,0.0,3.0,5.0,56.0,16,NA,NA,NA
Bruce Miller,6.0,73,254,4.81,31.0,35.0,113.0,7.05,4.34,2011,4.0,7,211,1.0,1.0,2.0,70.0,211,19,164,57
Sam Montgomery,3.0,75,262,4.81,34.5,,114.0,7.18,4.51,2013,16.0,3,95,1.0,1.0,2.0,1.0,95,11,96,72
Ryan Kalil,13.0,75,299,4.96,26.0,34.0,104.0,7.5,4.34,2007,9.0,2,59,0.0,2.0,14.0,3.0,59,1,31,90
Carl Nesmith,11.0,74,223,4.95,31.5,5.0,112.0,,,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Ryan Pickett,5.0,74,309,5.1,,,,,,2001,24.0,1,29,1.0,1.0,4.0,2.0,29,NA,NA,NA
J.J. Nelson,0.0,70,156,4.28,36.0,,127.0,7.02,4.15,2015,11.0,5,159,NaN,NaN,0.0,122.0,159,NA,NA,NA
Casey Crawford,9.0,78,244,4.83,,18.0,,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Todd Heap,9.0,77,252,4.68,,,,,,2001,1.0,1,31,0.0,6.0,8.0,29.0,31,NA,NA,NA
Matt Walters,3.0,76,272,4.9,,30.0,,,,2003,25.0,5,150,1.0,1.0,4.0,8.0,150,NA,NA,NA
Dennis Johnson,3.0,77,258,4.82,35.5,17.0,119.0,7.21,4.36,2002,11.0,3,98,1.0,4.0,1.0,30.0,59,NA,NA,NA
Marc Bulger,8.0,74,208,4.97,,,100.0,7.46,4.34,2000,27.0,6,168,0.0,7.0,11.0,46.0,168,NA,NA,NA
Byron Maxwell,1.0,72,202,4.43,33.0,24.0,124.0,,,2011,0.0,6,173,1.0,0.0,6.0,14.0,173,28,207,46
Ryan Clady,4.0,78,309,5.18,,24.0,,,,2008,13.0,1,12,0.0,2.0,3.0,53.0,12,3,14,94
Luke McCown,8.0,76,208,4.71,37.5,,125.0,6.74,4.21,2004,2.0,4,106,0.0,7.0,11.0,79.0,106,8,157,60
Isaac Rochell,3.0,76,280,4.89,31.5,25.0,114.0,,,2017,33.0,7,225,1.0,1.0,2.0,11.0,225,16,181,55
Christian Hackenberg,8.0,76,223,4.78,31.0,,114.0,7.04,4.33,2016,25.0,2,51,0.0,7.0,11.0,15.0,51,5,49,81
Robert Woods,0.0,72,201,4.51,33.5,14.0,117.0,7.15,4.47,2013,7.0,2,41,0.0,3.0,0.0,3.0,41,4,32,88
Jason Jefferson,5.0,74,310,5.1,28.5,,102.0,7.79,4.47,2005,27.0,6,193,1.0,1.0,4.0,42.0,193,10,123,68
Ulish Booker,4.0,78,304,5.24,,,,,,2003,NaN,,,NaN,NaN,NaN,NaN,,,,
Shane Walton,1.0,71,184,4.67,31.0,11.0,109.0,7.05,4.29,2003,24.0,5,170,1.0,0.0,5.0,11.0,170,NA,NA,NA
Corey Moore,6.0,71,223,4.6,,21.0,,,,2000,7.0,3,89,1.0,4.0,9.0,12.0,89,NA,NA,NA
James Williams,0.0,71,180,4.59,36.0,,123.0,7.22,4.16,2000,0.0,6,175,1.0,4.0,5.0,117.0,176,NA,NA,NA
Michael Sam,3.0,74,261,4.91,25.5,17.0,114.0,7.8,4.7,2014,24.0,7,249,1.0,1.0,2.0,50.0,249,20,224,43
Jake McGee,9.0,77,250,4.83,,17.0,,,,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Will Holden,4.0,79,311,5.47,28.0,23.0,111.0,7.71,4.72,2017,11.0,5,157,0.0,2.0,3.0,75.0,157,9,131,66
Jacob Hester,15.0,71,226,4.61,27.5,23.0,111.0,6.85,4.24,2008,31.0,3,69,0.0,5.0,16.0,1.0,69,1,NA,56
Antrel Rolle,1.0,72,201,4.48,,15.0,,,,2005,11.0,1,8,1.0,0.0,5.0,71.0,8,2,9,96
Courtney Upshaw,3.0,74,272,4.74,,22.0,,,,2012,1.0,2,35,1.0,4.0,2.0,6.0,35,4,25,90
Tanner Vallejo,10.0,73,228,4.67,33.5,,121.0,,4.39,2017,7.0,6,195,1.0,4.0,10.0,53.0,195,15,255,41
Eddy Pineiro,16.0,72,185,,,,,,,2018,NaN,,,NaN,NaN,NaN,NaN,,,,
Greg Jones-02,10.0,72,242,4.75,31.5,21.0,117.0,7.27,4.27,2011,30.0,6,185,NaN,NaN,NaN,NaN,,,,
Devante Davis,0.0,75,220,4.57,35.5,16.0,115.0,7.25,4.12,2015,NaN,,,NaN,NaN,0.0,101.0,NA,25,157,52
Randy Jordan,1.0,73,178,4.59,33.5,,115.0,7.34,4.21,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
De'Vante Harris,1.0,71,176,4.56,38.5,,124.0,6.82,4.06,2016,NaN,,,NaN,NaN,6.0,17.0,NA,36,312,34
A.J. Jefferson,1.0,72,193,4.42,44.0,7.0,126.0,6.72,4.0,2010,NaN,,,NaN,NaN,2.0,30.0,NA,23,238,44
Austin Hooper,9.0,76,254,4.72,33.0,19.0,117.0,7.0,4.32,2016,21.0,3,81,0.0,6.0,8.0,20.0,81,3,62,79
Budda Baker,11.0,70,195,4.45,32.5,15.0,115.0,6.76,4.08,2017,11.0,2,36,1.0,0.0,12.0,35.0,36,5,39,86
Arthur Maulet,1.0,70,189,4.62,34.5,18.0,120.0,,,2017,NaN,,,NaN,NaN,NaN,NaN,,,,
Durant Brooks,14.0,72,204,5.2,,,,,,2008,28.0,6,168,2.0,8.0,15.0,44.0,168,1,NA,49
Nate Ilaoa,2.0,69,245,4.77,30.0,25.0,103.0,7.1,4.42,2007,8.0,7,236,0.0,5.0,1.0,65.0,236,25,NA,30
Jerome Harrison,2.0,69,201,4.47,34.5,19.0,124.0,6.77,4.07,2006,2.0,5,145,0.0,5.0,1.0,59.0,145,8,91,73
Wendell Bryant,5.0,76,308,4.91,,,,,,2002,11.0,1,12,1.0,1.0,4.0,42.0,12,NA,NA,NA
Brady Quinn,8.0,76,232,4.73,,24.0,,,,2007,2.0,1,22,0.0,7.0,11.0,11.0,22,2,7,97
Joe Clermond,3.0,74,249,5.15,25.5,20.0,107.0,7.61,4.73,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Bradie Ewing,15.0,72,239,4.73,36.5,14.0,120.0,7.14,4.16,2012,21.0,5,157,0.0,5.0,16.0,64.0,157,3,NA,34
Nick Martin,13.0,76,299,5.22,28.0,28.0,97.0,7.57,4.72,2016,16.0,2,50,0.0,2.0,18.0,11.0,50,2,63,79
Justin Rogers,1.0,70,180,4.45,33.0,14.0,114.0,7.21,4.2,2011,7.0,7,206,1.0,4.0,9.0,100.0,180,NA,NA,NA
Jason McAddley,0.0,73,203,4.47,36.5,,123.0,6.83,4.09,2002,11.0,5,149,0.0,3.0,0.0,6.0,149,NA,NA,NA
DeShaun Foster,2.0,73,222,4.57,35.5,20.0,119.0,6.82,4.16,2002,9.0,2,34,0.0,5.0,1.0,27.0,34,NA,NA,NA
Quenton Nelson,20.0,77,325,,26.5,35.0,105.0,7.65,4.62,2018,NaN,,,0.0,2.0,7.0,11.0,6,1,3,95
Riar Geer,15.0,75,256,5.0,33.0,13.0,106.0,7.13,4.29,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Brandon McDonald,1.0,71,181,4.58,33.0,17.0,118.0,7.44,4.76,2007,2.0,5,140,1.0,0.0,5.0,82.0,140,32,302,31
Jordan Thomas-02,9.0,77,265,4.74,27.0,16.0,111.0,7.5,4.75,2018,NaN,,,NaN,NaN,NaN,NaN,,,,
Patrick Robinson,1.0,71,190,4.46,39.0,15.0,122.0,6.78,,2010,27.0,1,32,0.0,3.0,0.0,73.0,187,NA,NA,NA
Onrea Jones,0.0,71,202,4.42,39.0,,121.0,7.05,4.28,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Linval Joseph,5.0,76,328,5.09,30.0,39.0,100.0,8.12,4.71,2010,30.0,2,46,1.0,1.0,4.0,77.0,46,9,52,83
John Boyett,11.0,70,204,4.64,,27.0,,,,2013,22.0,6,192,1.0,0.0,12.0,26.0,192,27,NA,31
Alex Dunnachie,14.0,75,217,4.97,,,,,,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Calvin Armstrong,4.0,79,325,5.51,34.0,26.0,100.0,7.62,4.66,2005,NaN,,,0.0,2.0,3.0,59.0,211,13,147,63
Steve Savoy,0.0,71,192,4.62,,,,,,2005,NaN,,,NaN,NaN,0.0,0.0,NA,22,163,60
Ronald Powell,6.0,75,237,4.65,35.5,21.0,114.0,,,2014,27.0,5,169,1.0,4.0,10.0,4.0,169,18,200,48
T.C. Taylor,0.0,76,219,4.69,31.0,,114.0,7.59,4.25,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Darren Howard,3.0,76,281,5.09,29.0,,108.0,7.0,4.32,2000,27.0,2,33,1.0,1.0,2.0,40.0,33,NA,NA,NA
Chad Pennington,8.0,75,229,4.81,33.5,,111.0,7.12,4.16,2000,25.0,1,18,0.0,7.0,11.0,72.0,18,NA,NA,NA
Tyler Brayton,3.0,78,277,4.73,34.0,25.0,116.0,7.14,4.31,2003,23.0,1,32,1.0,1.0,2.0,34.0,32,NA,NA,NA
Ibraheim Campbell,12.0,71,208,4.52,,23.0,,,,2015,2.0,4,115,1.0,0.0,12.0,66.0,115,8,146,56
Dontari Poe,5.0,75,346,4.89,29.5,44.0,105.0,7.9,4.56,2012,29.0,1,11,1.0,1.0,4.0,82.0,11,3,20,92
T.J. Turner,10.0,75,273,4.8,,,,,,2001,19.0,7,239,1.0,1.0,4.0,78.0,81,NA,NA,NA
