overall,year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,side,team_1,pos_rk,grade
-999,0.529411765,0.176026823,0.238095238,0.101973684,0.951023392,0.999283618,0,0.981870229,0,0.998313559,0.998885084,0.87804878,0,1,0,0
-999,1,0.465213747,1,0.644736842,0.854532164,0.998726432,0.984696318,0.960877863,0.966841187,0.99834332,0.998944812,0.829268293,1,1,0,0
-999,0.294117647,0.374350377,0.714285714,0.677631579,0.956140351,0.998945326,0.979435677,0.978053435,0.954624782,0.999017896,0.99924345,0.93902439,1,1,0.95463138,0.973588342
213,0.058823529,0.290695725,0.80952381,0.671052632,0.907163743,0.998985125,0.983261597,0,0.961605585,0.998640927,0.999064267,0.951219512,0.333333333,0.055555556,0.950850662,0.976320583
-999,0.882352941,0.071248952,0.476190476,0.25,0.901315789,0,0,0.96851145,0,0,0,0.890243902,1,1,0.967863894,0.940801457
-999,0.352941176,0.471751886,0.238095238,0.282894737,0.95248538,0.998925427,0.984218077,0.995229008,0.959860384,0,0.999123995,0.890243902,0,1,0,0
128,0.235294118,0.575859179,1,0.391447368,0.877192982,0.99839809,0.992348159,0.96278626,0.980802792,0.997748105,0.998646173,0.87804878,0.333333333,0.861111111,0.958412098,0.969945355
40,0.176470588,0.501927913,0.80952381,0.069078947,0.887426901,0.998706532,0.983739837,0,0.968586387,0.997787786,0.99861631,0.902439024,0.333333333,0.527777778,0.948015123,0.988160291
198,0.647058824,0.786253143,0.952380952,0.901315789,0.913011696,0.99878613,0,0.972328244,0,0,0,0.926829268,0.333333333,0.194444444,0.956521739,0.948087432
42,0.529411765,0.700419111,0.714285714,0.259868421,0.956871345,0.999243819,0.978957437,0,0.961605585,0.999275822,0.999452497,0.93902439,0.333333333,0.694444444,0.949905482,0.990892532
31,0.647058824,0.881139983,0.380952381,0.171052632,0.907894737,0.998517487,0.990913439,0.97519084,0.978184991,0.998045712,0.998476945,0.914634146,0,0.611111111,0.947069943,0.985428051
33,0,0.572003353,0.666666667,0.0625,0.91374269,0.998537386,0,0,0,0,0,0.914634146,0,0,0.946124764,0.991803279
74,0.588235294,0.46387259,0.238095238,0.815789474,0.953947368,0.999014974,0.987565758,0.978053435,0.964223386,0.998888933,0.999223541,0.914634146,0,0.638888889,0.963137996,0.953551913
-999,0.117647059,0.872422464,0.380952381,0.894736842,0.907163743,0.998646833,0.992826399,0,0.972949389,0.997787786,0.998516764,0.914634146,1,1,0,0
171,0.294117647,0.731601006,0.80952381,0.072368421,0.895467836,0.998905527,0.980870397,0,0.958115183,0,0,0.914634146,0.333333333,0.805555556,0.951795841,0.956284153
78,0.882352941,0.703772003,0.619047619,0.986842105,0.956140351,0.99918412,0.982305117,0.973282443,0.963350785,0.998849252,0.999253404,0.93902439,0.333333333,0.527777778,0.949905482,0.976320583
118,0.176470588,0.838222967,1,0.473684211,0.861111111,0.998427939,0.989000478,0,0.979057592,0.997688584,0.998656128,0.841463415,0.333333333,0.111111111,0.968809074,0.951730419
193,0.294117647,0.692036882,0.571428571,0.555921053,0.96125731,0.999213969,0.988043998,0,0.967713787,0.998829412,0.999303178,0.93902439,0.333333333,0.666666667,0.9536862,0.956284153
203,0.176470588,0.24341995,0.904761905,0.440789474,0.889619883,0.998537386,0.992826399,0.965648855,0.986910995,0.998105234,0.998885084,0.914634146,0,0.027777778,0.959357278,0.952641166
-999,0.294117647,0.843587594,0.238095238,0.177631579,0.970760234,0.999074673,0.982305117,0.979007634,0.966841187,0.998859172,0.999412678,0.926829268,1,1,0,0
-999,0.294117647,0.048449288,0.380952381,0.118421053,0.900584795,0.998646833,0,0.979961832,0.972949389,0,0,0.902439024,1,1,0,0
183,0.588235294,0.261190277,0.80952381,0.753289474,0.885233918,0.998945326,0.982305117,0,0.961605585,0.998521884,0.998944812,0.902439024,0.333333333,0.138888889,0.951795841,0.967213115
-999,0.529411765,0.694216262,0.857142857,0.819078947,0.891812865,0.998507537,0.989478718,0.969465649,0.97469459,0,0,0.87804878,1,1,0,0
-999,0.411764706,0.803185247,0.142857143,0.032894737,0.916666667,0.998835879,0.985652798,0.978053435,0.964223386,0.998224277,0.998765629,0.926829268,0,1,0,0
